,date,from_province,to_province,from_district,to_district,total_people,male,female
278,202303,서울특별시,서울특별시,성동구,금천구,8,3,5
279,202301,서울특별시,서울특별시,성동구,영등포구,25,13,12
280,202302,서울특별시,서울특별시,성동구,영등포구,46,18,28
281,202303,서울특별시,서울특별시,성동구,영등포구,62,30,32
282,202301,서울특별시,서울특별시,성동구,동작구,37,23,14
283,202302,서울특별시,서울특별시,성동구,동작구,62,29,33
284,202303,서울특별시,서울특별시,성동구,동작구,40,17,23
285,202301,서울특별시,서울특별시,성동구,관악구,63,30,33
286,202302,서울특별시,서울특별시,성동구,관악구,75,42,33
287,202303,서울특별시,서울특별시,성동구,관악구,61,31,30
288,202301,서울특별시,서울특별시,성동구,서초구,54,28,26
289,202302,서울특별시,서울특별시,성동구,서초구,91,45,46
290,202303,서울특별시,서울특별시,성동구,서초구,68,37,31
291,202301,서울특별시,서울특별시,성동구,강남구,187,83,104
292,202302,서울특별시,서울특별시,성동구,강남구,211,104,107
293,202303,서울특별시,서울특별시,성동구,강남구,212,101,111
294,202301,서울특별시,서울특별시,성동구,송파구,92,43,49
295,202302,서울특별시,서울특별시,성동구,송파구,144,72,72
296,202303,서울특별시,서울특별시,성동구,송파구,132,64,68
297,202301,서울특별시,서울특별시,성동구,강동구,29,13,16
298,202302,서울특별시,서울특별시,성동구,강동구,47,24,23
299,202303,서울특별시,서울특별시,성동구,강동구,40,18,22
300,202301,서울특별시,서울특별시,광진구,중구,22,14,8
301,202302,서울특별시,서울특별시,광진구,중구,26,13,13
302,202303,서울특별시,서울특별시,광진구,중구,35,19,16
303,202301,서울특별시,서울특별시,광진구,종로구,11,5,6
304,202302,서울특별시,서울특별시,광진구,종로구,21,7,14
305,202303,서울특별시,서울특별시,광진구,종로구,25,11,14
306,202301,서울특별시,서울특별시,광진구,용산구,36,16,20
307,202302,서울특별시,서울특별시,광진구,용산구,16,10,6
308,202303,서울특별시,서울특별시,광진구,용산구,30,12,18
309,202301,서울특별시,서울특별시,광진구,성동구,147,75,72
310,202302,서울특별시,서울특별시,광진구,성동구,164,79,85
311,202303,서울특별시,서울특별시,광진구,성동구,243,130,113
312,202301,서울특별시,서울특별시,광진구,광진구,617,300,317
313,202302,서울특별시,서울특별시,광진구,광진구,920,444,476
314,202303,서울특별시,서울특별시,광진구,광진구,1075,503,572
315,202301,서울특별시,서울특별시,광진구,동대문구,77,40,37
316,202302,서울특별시,서울특별시,광진구,동대문구,92,39,53
317,202303,서울특별시,서울특별시,광진구,동대문구,74,33,41
318,202301,서울특별시,서울특별시,광진구,중랑구,81,34,47
319,202302,서울특별시,서울특별시,광진구,중랑구,123,67,56
320,202303,서울특별시,서울특별시,광진구,중랑구,137,54,83
321,202301,서울특별시,서울특별시,광진구,성북구,48,25,23
322,202302,서울특별시,서울특별시,광진구,성북구,82,29,53
323,202303,서울특별시,서울특별시,광진구,성북구,54,25,29
324,202301,서울특별시,서울특별시,광진구,강북구,15,11,4
325,202302,서울특별시,서울특별시,광진구,강북구,23,10,13
326,202303,서울특별시,서울특별시,광진구,강북구,33,16,17
327,202301,서울특별시,서울특별시,광진구,도봉구,30,13,17
328,202302,서울특별시,서울특별시,광진구,도봉구,28,14,14
329,202303,서울특별시,서울특별시,광진구,도봉구,43,27,16
330,202301,서울특별시,서울특별시,광진구,노원구,53,24,29
331,202302,서울특별시,서울특별시,광진구,노원구,66,33,33
332,202303,서울특별시,서울특별시,광진구,노원구,76,40,36
333,202301,서울특별시,서울특별시,광진구,은평구,29,17,12
334,202302,서울특별시,서울특별시,광진구,은평구,29,15,14
335,202303,서울특별시,서울특별시,광진구,은평구,39,17,22
336,202301,서울특별시,서울특별시,광진구,서대문구,20,5,15
337,202302,서울특별시,서울특별시,광진구,서대문구,31,10,21
338,202303,서울특별시,서울특별시,광진구,서대문구,17,10,7
339,202301,서울특별시,서울특별시,광진구,마포구,55,24,31
340,202302,서울특별시,서울특별시,광진구,마포구,48,25,23
341,202303,서울특별시,서울특별시,광진구,마포구,41,13,28
342,202301,서울특별시,서울특별시,광진구,양천구,13,7,6
343,202302,서울특별시,서울특별시,광진구,양천구,35,17,18
344,202303,서울특별시,서울특별시,광진구,양천구,40,22,18
345,202301,서울특별시,서울특별시,광진구,강서구,27,20,7
346,202302,서울특별시,서울특별시,광진구,강서구,33,15,18
347,202303,서울특별시,서울특별시,광진구,강서구,35,16,19
348,202301,서울특별시,서울특별시,광진구,구로구,15,7,8
349,202302,서울특별시,서울특별시,광진구,구로구,27,15,12
350,202303,서울특별시,서울특별시,광진구,구로구,36,21,15
351,202301,서울특별시,서울특별시,광진구,금천구,8,5,3
352,202302,서울특별시,서울특별시,광진구,금천구,18,9,9
353,202303,서울특별시,서울특별시,광진구,금천구,16,7,9
354,202301,서울특별시,서울특별시,광진구,영등포구,30,16,14
355,202302,서울특별시,서울특별시,광진구,영등포구,41,18,23
356,202303,서울특별시,서울특별시,광진구,영등포구,54,28,26
357,202301,서울특별시,서울특별시,광진구,동작구,51,22,29
358,202302,서울특별시,서울특별시,광진구,동작구,65,32,33
359,202303,서울특별시,서울특별시,광진구,동작구,65,32,33
360,202301,서울특별시,서울특별시,광진구,관악구,98,44,54
361,202302,서울특별시,서울특별시,광진구,관악구,98,51,47
362,202303,서울특별시,서울특별시,광진구,관악구,109,43,66
363,202301,서울특별시,서울특별시,광진구,서초구,38,20,18
364,202302,서울특별시,서울특별시,광진구,서초구,63,30,33
365,202303,서울특별시,서울특별시,광진구,서초구,33,16,17
366,202301,서울특별시,서울특별시,광진구,강남구,111,53,58
367,202302,서울특별시,서울특별시,광진구,강남구,148,72,76
368,202303,서울특별시,서울특별시,광진구,강남구,121,68,53
369,202301,서울특별시,서울특별시,광진구,송파구,118,58,60
370,202302,서울특별시,서울특별시,광진구,송파구,139,69,70
371,202303,서울특별시,서울특별시,광진구,송파구,126,57,69
372,202301,서울특별시,서울특별시,광진구,강동구,96,41,55
373,202302,서울특별시,서울특별시,광진구,강동구,104,55,49
374,202303,서울특별시,서울특별시,광진구,강동구,127,63,64
375,202301,서울특별시,서울특별시,동대문구,중구,28,19,9
376,202302,서울특별시,서울특별시,동대문구,중구,51,24,27
377,202303,서울특별시,서울특별시,동대문구,중구,49,24,25
378,202301,서울특별시,서울특별시,동대문구,종로구,61,38,23
379,202302,서울특별시,서울특별시,동대문구,종로구,69,34,35
380,202303,서울특별시,서울특별시,동대문구,종로구,86,40,46
381,202301,서울특별시,서울특별시,동대문구,용산구,17,6,11
382,202302,서울특별시,서울특별시,동대문구,용산구,56,30,26
383,202303,서울특별시,서울특별시,동대문구,용산구,42,19,23
384,202301,서울특별시,서울특별시,동대문구,성동구,171,84,87
385,202302,서울특별시,서울특별시,동대문구,성동구,231,103,128
386,202303,서울특별시,서울특별시,동대문구,성동구,229,104,125
387,202301,서울특별시,서울특별시,동대문구,광진구,73,35,38
388,202302,서울특별시,서울특별시,동대문구,광진구,151,69,82
389,202303,서울특별시,서울특별시,동대문구,광진구,97,41,56
390,202301,서울특별시,서울특별시,동대문구,동대문구,542,271,271
391,202302,서울특별시,서울특별시,동대문구,동대문구,916,421,495
